id,overall_status,study_type,phase,sponsors,sponsors_class,start_date,completion_date,primary_completion_date,primary_purpose,enrollment,condition,location_countries,gender,age,intervention,primary_outcome,title
NCT04491292,Recruiting,Observational,,M.D. Anderson Cancer Center,Other,18-May-20,30-Apr-21,30-Apr-21,COHORT,20000,COVID INFECTION,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",QUESTIONNAIRE ADMINISTRATION,CHANGE IN PSYCHOSOCIAL OUTCOMES,Psychosocial Impact of COVID-19 Pandemic on MD Anderson Workforce
NCT04491318,Recruiting,Observational,,Investigación en Hemofilia y Fisioterapia,Other,1-Jul-20,29-Jul-20,25-Jul-20,COHORT,27,HEMOPHILIA ARTHROPATHY,SPAIN,MALE,"18 Years to 65 Years   (Adult, Older Adult)",OBSERVATIONAL,CHANGE FROM BASELINE FREQUENCY OF HEMARTHROSIS AFTER CONFINEMENT PERIOD,Effects of COVID-19 Quarantine on the Musculoskeletal Status of Adult Hemophilia Patients. An Observational Study
NCT04491994,Completed,Interventional,Phase 3,UNICEF,Other,10-Apr-20,31-May-20,31-May-20,TREATMENT,540,COVID,PAKISTAN,ALL,"18 Years to 80 Years   (Adult, Older Adult)",HCQ,NUMBER OF PARTICIPANTS WITH PROGRESSION,Clearing the Fog: Is HCQ Effective in Reducing COVID-19 progression-a Randomized Controlled Trial
NCT04492189,Completed,Observational,,"University Hospital, Montpellier",Other,1-Apr-20,30-Jun-20,30-May-20,OTHER,40,EATING DISORDERS,FRANCE,ALL,"18 Years and older   (Adult, Older Adult)",,VARIATION IN EATING DISORDERS,Impact of Containment Measures in People With Eating Disorders: a Descriptive Study
NCT04492202,Not yet recruiting,Observational,,Istinye University,Other,1-Aug-20,10-Dec-20,20-Nov-20,OTHER,200,COVID,,ALL,"22 Years to 75 Years   (Adult, Older Adult)",SURVEY,"QUESTIONNAIRE FOR THE EVALUATION OF KNOWLEDGE, ATTITUDE AND PRACTISE LEVELS OF HEALTHCARE PROFESSIONALS FOR COVID-19","Comparison of the Knowledge, Attitudes, and Practices Towards COVID-19 Between Different Healthcare Professionals"
NCT04492228,Recruiting,Interventional,Not Applicable,Ospedale Policlinico San Martino,Other,1-Sep-20,30-May-21,31-Dec-20,TREATMENT,100,COVID,ITALY,ALL,"18 Years and older   (Adult, Older Adult)",KETOGENIC DIET,MORTALITY RATE IN THE KETOGENIC GROUP DIET VS STANDARD ONE,Randomized Open Controlled Clinical Trial to Evaluate the Effectiveness of a Eucaloric Ketogenic Nutrition in Comparison With a Standard Nutrition in Covid-19 Disease in Reducing Cytokine Storm Syndrome and ARDS
NCT04492254,Not yet recruiting,Interventional,Phase 3,Thrombosis Research Institute,Other,20-Jul-21,21-Jul-21,21-Jan-21,TREATMENT,1370,COVID,,ALL,"55 Years and older   (Adult, Older Adult)",ENOXAPARIN,HOSPITAL ADMISSION,"Early Thromboprophylaxis in COVID-19 (ETHIC Trial): an Open Label, Randomized Phase IIIb Trial of Community-based (LMWH) Versus Standard of Care in COVID-19 Positive Patients"
NCT04492267,Recruiting,Observational,,"University Hospital, Strasbourg, France",Other,7-Jul-20,7-Jan-21,7-Jan-21,CASE-ONLY,700,INFLAMMATORY BOWEL DISEASE,FRANCE,ALL,"18 Years and older   (Adult, Older Adult)",,RETROSPECTIVE ANALYSIS OF SEVERITY AND SPECIFIC NEEDS IN CASE OF SARS-COV-2 INFECTION IN IBD PATIENTS,"SARS-CoV-2 Infection in Patients From Two Tertiary Inflammatory Bowel Disease (IBD) Centres: Frequency of Suspected and Confirmed Infections, Severity and Outcome Management"
NCT04492358,Recruiting,Interventional,Phase 2/Phase 3,Maria Joyera Rodríguez,Other,22-Oct-20,21-Oct-21,21-Oct-21,TREATMENT,144,COVID,SPAIN,ALL,65 Years and older   (Older Adult),COLCHICINE,NUMBER OF PATIENTS THAT A SHORT CYCLE OF STEROIDS ADMINISTERED TOGETHER WITH COLCHICINE REDUCES MORTALITY FROM COVID-19,"Phase 2/3, Randomized, Open Study to Compare the Efficacy and Safety of Colchicine and Glucocorticoids Compared With the Standard of Treatment for Moderate/Severe COVID-19 in a Fragile and Vulnerable Population, Admitted to a Geriatric Hospital Unit or in a Transicional Care Center"
NCT04492371,Recruiting,Observational,,European Myeloma Network,Other,1-Jul-20,21-Jul-21,21-Jul-21,COHORT,500,MULTIPLE MYELOMA,AUSTRIA,ALL,"18 Years to 99 Years   (Adult, Older Adult)",,NATURE OF COVID19,COVID-19 INFECTION IN MULTIPLE MYELOMA PATIENTS: AN EUROPEAN OBSERVATIONAL STUDY
NCT04492384,Completed,Observational,,Eurasian Association of Therapists,Other,11-Jun-20,14-Jan-21,14-Jan-21,COHORT,3500,COVID,RUSSIAN FEDERATION,ALL,"18 Years and older   (Adult, Older Adult)",NON-INTERVENTIONAL,RATE OF NON-INFECTIOUS DISEASES,Analysis of Chronic Non-infectious Diseases Dynamics After COVID-19 Infection in Adult Patients
NCT04492410,"Active, not recruiting",Interventional,Not Applicable,Centre Antoine Lacassagne,Other,21-Jul-20,21-May-21,21-May-21,SCREENING,500,CANCER,FRANCE,ALL,"18 Years and older   (Adult, Older Adult)",RAPID SEROLOGICAL TEST,TO EVALUATE THE PREVALENCE OF COVID-19,COVID-19 Infection Screening in Cancer Patients (NEOSCREENCOVID)
NCT04492449,Not yet recruiting,Observational,,University of Sao Paulo,Other,21-Jan-21,22-Dec-21,21-Apr-21,OTHER,260,EXPOSURE DURING PREGNANCY,,FEMALE,"16 Years to 40 Years   (Child, Adult)",CONGENITAL MALFORMATION,PERIODONTAL STATUS,"Evaluation of Systemic and Oral Conditions of Pregnant Women and Their Babies, With Exposure to Coronavirus SARS-CoV-2"
NCT04492475,Completed,Interventional,Phase 3,National Institute of Allergy and Infectious Diseases (NIAID),NIH,5-Aug-20,21-Dec-20,21-Dec-20,TREATMENT,969,COVID,JAPAN,ALL,"18 Years to 99 Years   (Adult, Older Adult)",INTERFERON BETA-1A,"TIME TO RECOVERY FOR PATIENTS WITH BASELINE ORDINAL SCORE 4, 5, AND 6","A Multicenter, Adaptive, Randomized Blinded Controlled Trial of the Safety and Efficacy of Investigational Therapeutics for the Treatment of COVID-19 in Hospitalized Adults (ACTT-3)"
NCT04492501,Completed,Interventional,Not Applicable,UNICEF,Other,1-Apr-20,20-Jul-20,20-Jul-20,TREATMENT,600,COVID,PAKISTAN,ALL,"18 Years to 90 Years   (Adult, Older Adult)",THERAPEUTIC PLASMA EXCHANGE,SURVIVAL,"Role of Investigational Therapies Alone or in Combination to Treat Moderate, Severe and Critical COVID-19"
NCT04492514,Recruiting,Interventional,Phase 2,Kristin Hudock,Other,20-May-20,31-May-21,31-May-21,TREATMENT,60,COVID,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",MAVRILIMUMAB,PRIMARY OUTCOME MEASURE:,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in COVID-19 Pneumonia and Systemic Hyper-inflammation
NCT04492527,Recruiting,Interventional,Not Applicable,University of British Columbia,Other,28-Jul-20,31-Jul-21,30-Jun-21,PREVENTION,75,CHRONIC DISEASE,CANADA,ALL,65 Years and older   (Older Adult),TELEHEALTH COACHING SESSIONS,CHANGE FROM BASELINE: HEALTH DIRECTED BEHAVIOUR AT 2 MONTHS,A Student-delivered Community Outreach teleheAlth Program for Covid Education and Health Promotion (COACH)
NCT04492865,Not yet recruiting,Observational,,Assiut University,Other,30-Jul-20,30-Oct-20,30-Aug-20,COHORT,150,COVID,EGYPT,ALL,"18 Years and older   (Adult, Older Adult)",MSCT,ACCURACY OF NON CONTRAST MSCT CHEST IN COVID-19,MSCT Chest in Suspected COVID-19 Patients in Correlation With Symptomology and Laboratory Findings
NCT04492891,Recruiting,Interventional,Phase 2,"Bryan Burt, MD",Other,23-Nov-20,23-Nov-25,23-Nov-25,TREATMENT,75,SARS (DISEASE),UNITED STATES,ALL,"18 Years to 90 Years   (Adult, Older Adult)",CYCLOSPORINE,WHO COVID-19 CLINICAL SEVERITY SCALE,Randomized Phase IIa Clinical Trial Of Cyclosporine For The Treatment Of COVID-19(+) Non-ICU Hospital Inpatients
NCT04492904,Recruiting,Observational,,"Clinical Nutrition Research Centre, Singapore",Other,23-Jul-20,31-Mar-21,31-Mar-21,CASE-CONTROL,5000,COVID,SINGAPORE,ALL,"21 Years to 70 Years   (Adult, Older Adult)",HOME-USE TEST AND FOLLOW-UP QUESTIONNAIRE,TASTE AND SMELL ACUITY,Singapore COVID-19 Chemosensory Tracking (SCCT) Study
NCT04492943,Completed,Observational,,Massachusetts General Hospital,Other,20-Apr-20,30-Jun-20,30-Jun-20,COHORT,35,COVID,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",,SURVIVAL OUTCOME,To Observe Whether Isoflurane Can Treat COVID-19 Patients
NCT04493242,Not yet recruiting,Interventional,Phase 2,"Direct Biologics, LLC",Industry,1-Sep-20,31-Dec-20,30-Nov-20,TREATMENT,60,COVID,,ALL,"18 Years to 85 Years   (Adult, Older Adult)",DB-001,ALL-CAUSE MORTALITY,Extracellular Vesicle Infusion Treatment for Severe COVID-19
NCT04493268,Completed,Observational,,Hospital Nacional Profesor Alejandro Posadas,Other,7-Mar-20,21-Jul-20,20-Jul-20,COHORT,250,HYPONATREMIA,ARGENTINA,ALL,"1 Month to 100 Years   (Child, Adult, Older Adult)",,MORTALITY,HYPONATREMIA AND INFLAMMATION AND CLINICAL OUTCOMES IN HOSPITALIZED COVID-19 PATIENTS
NCT04493294,Not yet recruiting,Interventional,Phase 1/Phase 2,International Geriatric Radiotherapy Group,Other,20-Nov-21,21-Dec-21,21-Dec-21,TREATMENT,500,COVID PNEUMONITIS,,ALL,65 Years and older   (Older Adult),LOW DOSE WHOLE LUNG RADIOTHERAPY FOR OLDER PATIENTS WITH COVID-19 PNEUMONITIS,MORTALITY RATE,Low Dose Whole Lung Radiotherapy for Older Patients With Coronavirus 19 Disease (COVID-19) Pneumonitis: Practical Protocol by the International Geriatric Radiotherapy Group
NCT04493307,Recruiting,Observational,,LifeBridge Health,Other,30-Jun-20,21-Jun-21,21-Feb-21,OTHER,100,COVID,UNITED STATES,ALL,"3 Years and older   (Child, Adult, Older Adult)",PHLEBOTOMY,FREQUENCY OF HYPERCOAGULABILITY AS MEASURED BY THROMBOELASTOGRAPHY MEASURED BY TEG AND PLATELET AGGREGATION.,"The Evaluation of Hemostasis by Thromboelastography, Platelet Function Testing, and Biomarker Analysis in Hospitalized COVID-19 Patients"
NCT04493359,Recruiting,Interventional,Phase 2/Phase 3,University of Sao Paulo,Other,25-Jul-20,14-Feb-22,14-Feb-22,TREATMENT,240,COVID,BRAZIL,ALL,"18 Years to 80 Years   (Adult, Older Adult)",RENIN-ANGIOTENSIN SYSTEM INHIBITORS,NEED FOR ICU OR MORTALITY,Switch or Maintenance of Renin-Angiotensin System Inhibitors in Patients With Covid-19: A Randomized Proof of Concept Trial
NCT04494204,Completed,Interventional,Phase 2/Phase 3,PUNEET MITTAL,Other,7-Aug-20,20-Dec-20,1-Dec-20,TREATMENT,100,TREATMENT OF COVID VIRUS INFECTION,INDIA,ALL,"18 Years to 70 Years   (Adult, Older Adult)",IMMUNOFREE TABLETS AND REGINMUNE CAPSULE,TIME (DAYS) TO CLINICAL IMPROVEMENT FROM STUDY ENROLLMENT,"An Open Label, Multicenter, Randomized, Controlled, Clinical Study to Evaluate the Efficacy and Safety of a Combination of Treatment of Reginmune Capsule and Immunofree Tablets Compared With Standard Treatment Protocol in the Treatment of Mild to Moderate COVID-19 Patients."
NCT04494386,Recruiting,Interventional,Phase 1/Phase 2,"Restem, LLC.",Industry,23-Jul-20,30-Nov-21,30-Oct-20,TREATMENT,60,COVID,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",UMBILICAL CORD LINING STEM CELLS (ULSC),INCIDENCE OF DOSE LIMITING TOXICITY (DLT),Phase 1/2a Study of Umbilical Cord Lining Stem Cells (ULSC) in Patients With ARDS Due to COVID-19
NCT04494399,Recruiting,Interventional,Phase 2,The University of Hong Kong,Other,29-Jul-20,1-Aug-22,1-Jul-22,TREATMENT,96,COVID,HONG KONG,ALL,"18 Years and older   (Adult, Older Adult)",INTERFERON BETA-1B,CLINICAL SYMPTOMS ALLEVIATION,"An Open-label Randomised Controlled Trial on IFN Beta-1b and Ribavirin Combination, as Treatment for Covid-19 Infection"
NCT04494646,Completed,Interventional,Phase 2,NYU Langone Health,Other,8-Sep-20,8-Jan-21,8-Jan-21,TREATMENT,40,COVID,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",BARDOXOLONE METHYL,INCIDENCE OF SERIOUS ADVERSE EVENTS,"BARCONA: A Phase II, Randomized, Double-blind, Placebo-controlled, Multi-center Study of the Effects of Bardoxolone Methyl in Participants With SARS-Corona Virus-2 (COVID-19)"
NCT04494724,Recruiting,Interventional,Phase 2,The Methodist Hospital System,Other,13-Jul-20,31-Jul-21,31-Dec-20,TREATMENT,60,COVID INFECTION,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",CLAZAKIZUMAB,PRIMARY ENDPOINT,A Phase 2 Trial to Evaluate the Safety and Tolerability of Clazakizumab® [Anti-Interleukin (IL)-6 Monoclonal] Compared to Placebo for the Treatment of COVID-19 Infection
NCT04494776,Recruiting,Observational,,Helio Tedesco Silva Junior,Other,21-May-20,2-Apr-22,3-Nov-21,COHORT,500,SARS-COV2 INFECTION,BRAZIL,ALL,"Child, Adult, Older Adult",,DEATH,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-COV-2) Infection (COVID-19) in Kidney Transplant Recipients: a Brazilian Multicenter Study
NCT04494867,Recruiting,Interventional,Not Applicable,Sharp HealthCare,Other,19-Aug-20,20-Dec-21,20-Dec-21,TREATMENT,20,COVID,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",CORE WARMING,PAO2/FIO2 RATIO,"Core Warming of COVID-19 Patients Undergoing Mechanical Ventilation: a Randomized, Single Center Pilot Study"
NCT04494893,Recruiting,Observational,,Adaptive Biotechnologies,Industry,24-Apr-20,31-Jan-21,31-Dec-20,COHORT,1000,COVID,UNITED STATES,ALL,"18 Years to 89 Years   (Adult, Older Adult)",,COMPARISON OF DISEASE-SPECIFIC TCR SIGNATURES IN PATIENTS AND CONTROLS,ImmuneRACE - Immune Response Action to COVID-19 Events
NCT04494984,Completed,Interventional,Phase 2/Phase 3,Inmunova S.A.,Other,27-Jul-20,30-Dec-20,23-Nov-20,TREATMENT,242,COVID,ARGENTINA,ALL,"18 Years to 79 Years   (Adult, Older Adult)",INM005,CLINICAL CHANGES IN COVID-19 SYMPTOMS,"A Stage 2/3, Adaptive, Randomized, Controlled, Double-blind Study to Investigate the Pharmacokinetics, Efficacy and Safety of the Hyperimmune Equine Serum (INM005) in Adult Patients With Moderate to Severe Confirmed SARS-CoV2 Disease."
NCT04495101,Recruiting,Interventional,Phase 2,"Instituto Grifols, S.A.",Industry,29-Jul-20,21-May-21,21-Apr-21,TREATMENT,100,COVID,SPAIN,ALL,"18 Years and older   (Adult, Older Adult)",PROLASTIN,PERCENTAGE OF SUBJECTS DYING OR REQUIRING ICU ADMISSION,"A Multicenter, Randomized, Open-label, Parallel Group Pilot Study to Evaluate the Safety and Efficacy of Prolastin Plus Standard Medical Treatment (SMT) Versus SMT Alone in Hospitalized Subjects With COVID-19"
NCT04495543,Recruiting,Interventional,Not Applicable,Unity Health Toronto,Other,1-Dec-20,21-Aug-21,21-Aug-21,PREVENTION,75,SUICIDAL IDEATION,CANADA,ALL,"18 Years and older   (Adult, Older Adult)",BRIEF SKILLS FOR SAFER LIVING,CHANGE IN SUICIDAL IDEATION USING BECK SCALE FOR SUICIDE IDEATION,"Mitigating Suicide Risk During the COVID-19 Pandemic Via Telehealth Using an Intensive Single Session of ""Brief Skills for Safer Living"""
NCT04495764,Completed,Observational,,Davita Clinical Research,Industry,20-Jul-20,12-Feb-21,12-Feb-21,COHORT,2504,SARS-COV2 INFECTION,UNITED STATES,ALL,"18 Years to 80 Years   (Adult, Older Adult)",,ANTI-SARS-COV-2 ANTIBODIES,Registry of Sustained Immunity to COVID-19 Among ESKD Patients
NCT04495803,Not yet recruiting,Interventional,Not Applicable,St. Joseph's Healthcare Hamilton,Other,10-Aug-20,1-Aug-22,1-Aug-22,TREATMENT,120,PERINATAL ANXIETY,,FEMALE,18 Years to 45 Years   (Adult),COGNITIVE BEHAVIOURAL GROUP THERAPY FOR PERINATAL ANXIETY,STATE-TRAIT INVENTORY OF COGNITIVE AND SOMATIC ANXIETY (STICSA),Augmented Cognitive Behavioural Group Therapy for Perinatal Anxiety During a Global Pandemic (COVID-19)
NCT04495816,Recruiting,Interventional,Phase 2,Icahn School of Medicine at Mount Sinai,Other,15-Jul-20,21-Aug-21,21-Aug-21,TREATMENT,126,ANOSMIA,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",OMEGA-3 FATTY ACID SUPPLEMENT,BRIEF SMELL IDENTIFICATION TEST (BSIT),COVID-19 Anosmia Study
NCT04495842,Recruiting,Interventional,Not Applicable,Franklin School of Integrative Health Sciences,Other,1-Oct-20,30-Jun-21,31-Mar-21,SUPPORTIVE CARE,65,STRESS,UNITED STATES,ALL,"18 Years to 65 Years   (Adult, Older Adult)",ESSENTIAL OIL BLEND,CHANGE FROM BASELINE IN STATE ANXIETY ON THE STATE PORTION OF THE STATE TRAIT ANXIETY SCALE (STAI-S) AT 15 MINUTES,The Effect of Aromatherapy on COVID-19-induced Anxiety
NCT04495907,Recruiting,Observational,,Davita Clinical Research,Industry,6-Aug-20,21-Jun-21,21-Mar-21,COHORT,1000,SARS-COV2 INFECTION (ASYMPTOMATIC),UNITED STATES,ALL,"18 Years to 80 Years   (Adult, Older Adult)",,SARS-COV-2 IGG,COVID-19 Progression in End-Stage Kidney Disease
NCT04495933,Recruiting,Interventional,Phase 1,The University of Queensland,Other,13-Jul-20,21-Sep-21,20-Oct-21,PREVENTION,216,SARS-COV2,AUSTRALIA,ALL,"18 Years and older   (Adult, Older Adult)",MF59 ADJUVANTED SARS-COV-2 SCLAMP VACCINE 5MCG,FREQUENCY OF SOLICITED LOCAL REACTOGENICITY ADVERSE EVENTS (AES),"A Phase 1, Randomised, Double-Blind, Placebo-Controlled, Dosage-Escalation, Single Centre Study to Evaluate the Safety and Immunogenicity of an Adjuvanted SARS-CoV-2 Sclamp Protein Subunit Vaccine in Healthy Adults Aged 18 to 55 Years Old and Healthy Older Adults, Aged 56 Years and Over"
NCT04496076,Enrolling by invitation,Observational,,University of Pittsburgh,Other,2-Apr-20,31-Mar-21,31-Dec-20,COHORT,300,SARS-COV2,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",,IN-HOSPITAL MORTALITY,Severe Neurologic Injury Outcomes During COVID-19 Crisis
NCT04496128,Enrolling by invitation,Observational,,University of Pittsburgh,Other,13-Apr-20,31-Mar-21,31-Dec-20,COHORT,300,SARS-COV2,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",,PREVALENCE OF NEUROLOGICAL MANIFESTATIONS,Neurological Complications of COVID-19
NCT04496141,"Active, not recruiting",Observational,,Hong Kong Sanatorium & Hospital,Industry,27-Jul-20,30-Nov-20,30-Nov-20,COHORT,70,COVID,HONG KONG,ALL,"Child, Adult, Older Adult",SARS-COV-2 ANTIBODY IMMUNOASSAYS,THE ACCURACY OF THE DIFFERENT COMMERCIAL SARS-COV-2 ANTIBODY IMMUNOASSAYS,Evaluation of Commercial SARS-CoV-2 Antibody Immunoassays for COVID-19
NCT04496245,Recruiting,Interventional,Phase 3,The University of Queensland,Other,24-Aug-20,30-Jun-21,30-Jun-21,PREVENTION,1000,RESPIRATORY VIRAL INFECTION,AUSTRALIA,ALL,"18 Years to 100 Years   (Adult, Older Adult)",BRONCHO-VAXOM®,ACUTE RESPIRATORY INFECTION NECESSITATING WORKFORCE REMOVAL,Reducing Acute Severe Respiratory Events in Health Care Workers During the Covid-19 Pandemic With OM85
NCT04496869,Not yet recruiting,Observational,,Hospices Civils de Lyon,Other,20-Jul-21,20-Dec-21,20-Sep-21,COHORT,600,INFERTILITY TREATMENT,FRANCE,FEMALE,18 Years to 43 Years   (Adult),ONLINE QUESTIONNAIRE,PSYCHOLOGICAL IMPACT ASSESSED BY SCORES OF PSS10 SCALES.,"Psychological Impact of COVID19 Among Women Undergoing Infertility Treatment, a French Cohort"
NCT04497194,Recruiting,Observational [Patient Registry],,Azienda Ospedaliera Universitaria Integrata Verona,Other,1-Mar-20,30-Sep-20,30-Aug-20,COHORT,500,CORONAVIRUS DISEASE 2019,ITALY,ALL,"Child, Adult, Older Adult",NOT APPLICABLE (OBSERVATIONAL STUDY),EPIDEMIOLOGICAL PREDICTORS OF POOR OUTCOMES IN COVID-19 PATIENTS ADMITTED TO UNIVERSITY HOSPITAL OF VERONA,"Registry of Biological Samples, Clinical Information and Epidemiological Data of COVID-19 Patients Admitted at the University Hospital of Verona (AOUI Verona)"
NCT04497246,Recruiting,Observational,,Murielle Surquin,Other,29-May-20,20-Dec-21,20-Dec-21,COHORT,5000,COVID,BELGIUM,ALL,"18 Years and older   (Adult, Older Adult)",QUESTIONNAIRE,IMPACT EVENT SCALE-REVISED (IES-R),"Psychological Impact, Mental Health and Sleep Disorder Among Patients Hospitalized and Health Care Workers During the 2019 Coronavirus Outbreak (COVID-19)"
NCT04497272,Recruiting,Interventional,Not Applicable,Centre Hospitalier Universitaire de Nice,Other,7-Aug-20,7-Oct-21,7-Aug-21,DIAGNOSTIC,150,COVID,FRANCE,ALL,"18 Years and older   (Adult, Older Adult)",COVID-19 PATIENTS,IDENTIFYING THE METABOLOMIC SIGNATURE,Assesment of the Metabolomic Signature in COVID-19 Patients (SignCov Study)
NCT04497298,Recruiting,Interventional,Phase 1,Institut Pasteur,Industry,10-Aug-20,21-Oct-21,20-Nov-21,PREVENTION,90,COVID,BELGIUM,ALL,18 Years to 55 Years   (Adult),TWO COVID-19 VACCINE CANDIDATE (TMV-083) ADMINISTRATIONS - LOW DOSE,TO ASSESS THE SAFETY AND TOLERABILITY OF THE COVID-19 VACCINE FOLLOWING ONE OR TWO CONSECUTIVE INTRAMUSCULAR INJECTIONS IN HEALTHY VOLUNTEERS,"A Randomized, Placebo-controlled Trial, to Evaluate the Safety and Immunogenicity of the COVID-19 Vaccine, a Measles Vector-based Vaccine Candidate Against COVID-19 in Healthy Volunteers Consisting of an Unblinded Dose Escalation and a Blinded Treatment Phase"
NCT04497311,Recruiting,Observational,,Universidad de Guanajuato,Other,15-Jun-20,30-Apr-22,30-Apr-21,COHORT,100,SARS-COV2,MEXICO,ALL,"18 Years to 80 Years   (Adult, Older Adult)",THORAXIC COMPUTED TOMOGRAPHY,RADIOLOGICAL FINDINGS,Pulmonary Tomographic Findings in COVID-19 and Influenza H1N1 Patients
NCT04497324,Not yet recruiting,Interventional,Phase 2,Universidad Peruana Cayetano Heredia,Other,20-Aug-20,31-Dec-20,30-Nov-20,TREATMENT,100,COVID,PERU,ALL,"18 Years and older   (Adult, Older Adult)",CONVALESCENT PLASMA,TRANSFUSION-RELATED SERIOUS ADVERSE EVENTS,PERUCONPLASMA: Randomized Clinical Trial to Evaluate Safety and Efficacy of the Use of Convalescent Plasma in Hospitalized Patients With COVID-19
NCT04497389,Recruiting,Interventional,Phase 1/Phase 2,University of Utah,Other,28-Oct-20,15-Sep-21,15-Sep-21,TREATMENT,60,SARS COV-2,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",HUMAN AMNIOTIC FLUID,C-REACTIVE PROTEIN,A Phase I/II Randomized Double-blinded Placebo-controlled Clinical Trial to Determine Safety and Feasibility of Using an Acellular Sterile Filtered Amniotic Fluid as a Treatment for COVID-19 Patients
NCT04497402,Recruiting,Observational [Patient Registry],,University of Roma La Sapienza,Other,1-Sep-20,1-Jun-22,1-Sep-21,COHORT,88,COVID,ITALY,ALL,"18 Years to 100 Years   (Adult, Older Adult)",,SEX DIFFERENCES IN PLATELET AND IMMUNE FUNCTION AND COVID19 SEVERITY,Sex-Informed Data in the COVID-19 Pandemic.
NCT04497415,Recruiting,Interventional,Not Applicable,"Research Foundation for Mental Hygiene, Inc.",Other,21-Oct-20,30-Jan-21,30-Nov-20,HEALTH SERVICES RESEARCH,1200,BRIEF VIDEO-BASED INTERVENTION,UNITED STATES,ALL,"18 Years to 80 Years   (Adult, Older Adult)",VIDEO-BASED INTERVENTION,HELP-SEEKING BEHAVIOR,The COVID-19 and Healthcare Workers: An Active Intervention
NCT04497441,Recruiting,Observational,,Qassim University,Other,10-Jun-20,15-Aug-20,10-Aug-20,OTHER,385,COVID,SAUDI ARABIA,ALL,"19 Years and older   (Adult, Older Adult)",ELECTRONIC SURVEY QUESTIONNAIRE,NETIZENS' PERCEPTION OF THE SOURCES OF COVID-19 INFORMATION,Perceptions of Netizens Regarding COVID-19 Information & Information Sources: A Cross Sectional Study
NCT04497454,Recruiting,Interventional,Not Applicable,University of Sao Paulo General Hospital,Other,8-May-20,1-Dec-21,1-Jul-21,TREATMENT,128,RESPIRATORY DISTRESS SYNDROME,BRAZIL,ALL,"18 Years and older   (Adult, Older Adult)",EIT-GROUP,AVERAGE DAILY MODIFIED LUNG INJURY SCORE UNTIL DAY 28,Mechanical Ventilation Strategy for Coronavirus Disease 2019 (COVID-19) - COVEN Study
NCT04497467,Recruiting,Observational,,National Taiwan University Hospital,Other,1-Aug-20,31-Dec-20,31-Dec-20,COHORT,1200000,PATIENT PREFERENCE,TAIWAN,ALL,"Child, Adult, Older Adult",,THE NUMBER OF THE OUT-PATIENT VISITS,An Analysis of Changes in Out-patient Visits in Taiwan During the Time of Global COVID-19 Pandemic
NCT04497519,Completed,Interventional,Phase 1,University Medical Center Groningen,Other,15-Sep-20,1-Nov-20,15-Oct-20,TREATMENT,12,COVID,NETHERLANDS,ALL,"18 Years to 65 Years   (Adult, Older Adult)",INHALED HYDROXYCHLOROQUINE,LOCAL TOLERABILITY,Local Tolerability and Pharmacokinetic Evaluation of Cyclops Dry Powder Hydroxychloroquine Inhalation in Healthy Volunteers; a Pilot Study
NCT04497610,Not yet recruiting,Observational [Patient Registry],,Instituto Costarricense de Investigaciones Clínicas ICIC,Other,4-Aug-20,15-Aug-20,15-Aug-20,COHORT,1000,COVID,COSTA RICA,ALL,"7 Years and older   (Child, Adult, Older Adult)",BREATH SAMPLE,PRESENCE OF DISEASE,SARS-CoV-2 (COVID-19) Detection Using the Breath Analizer TeraSystem
NCT04497623,Completed,Interventional,Not Applicable,Fundación Neumologica Colombiana,Other,28-Jul-20,20-Sep-20,13-Aug-20,DEVICE FEASIBILITY,5,COVID,COLOMBIA,ALL,"18 Years to 70 Years   (Adult, Older Adult)",INVASIVE MECHANICAL VENTILATION USING THE UNISABANA-HERONS VENTILATOR DURING 24 HOURS,IMPROVEMENT OR MAINTENANCE OF THE OXYGENATION LEVEL MEASURED BY PAO2,"Clinical Evaluation of Ventilator Innovation Product in Colombia in the SARS Pandemic Covid 19, Unisabana Herons - A Cohort Study - Phase 1"
NCT04497636,Recruiting,Observational,,Pontificia Universidad Catolica de Chile,Other,3-Jul-20,31-Jan-21,31-Jan-21,COHORT,1092,ANXIETY,CHILE,ALL,"18 Years and older   (Adult, Older Adult)",,DEPRESSIVE SYMPTOMS,"Mental Health Impact of the COVID-19 Pandemic Among Immigrants in Santiago, Chile (STRING-COVID)"
NCT04497649,Recruiting,Interventional,Phase 2/Phase 3,Tanta University,Other,1-Jul-20,10-Apr-21,1-Apr-21,TREATMENT,100,COVID,EGYPT,ALL,"Child, Adult, Older Adult",SOFOSBUVIR,NUMBER OF PATIENTS WITH IMPROVEMENT OR MORTALITY,Sofosbuvir Containing Regimens in Treatment of COVID 19 Patients: A Randomized Controlled Trial.
